gene_a,gene_b,condition,interaction,user_question,full_query
GSG1,TEL1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of GSG1 and TEL1 affect cellular interactions under exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of GSG1 and TEL1 affect cellular interactions under exposure to dimethyl sulfate?"
JJJ1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in JJJ1 and RPD3, how does exposure to dimethyl sulfate modify the synthetic genetic interaction between these two genes?","In Saccharomyces cerevisiae with concurrent mutations in JJJ1 and RPD3, how does exposure to dimethyl sulfate modify the synthetic genetic interaction between these two genes?"
YDR048C,RAD51,DMS,synthetic lethality,"In a strain of Saccharomyces cerevisiae harboring mutations in YDR048C and RAD51 and exposed to dimethyl sulfate, what genetic interaction can be observed?","In a strain of Saccharomyces cerevisiae harboring mutations in YDR048C and RAD51 and exposed to dimethyl sulfate, what genetic interaction can be observed?"
YDR048C,RAD1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of YDR048C and RAD1 affect the genetic interaction profile when the cells are challenged with dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of YDR048C and RAD1 affect the genetic interaction profile when the cells are challenged with dimethyl sulfate?"
YJR085C,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae, when cells harbor concurrent mutations in YJR085C and RAD51 and are exposed to dimethyl sulfate, what does the observed genetic interaction suggest about their combined functional impact?","In Saccharomyces cerevisiae, when cells harbor concurrent mutations in YJR085C and RAD51 and are exposed to dimethyl sulfate, what does the observed genetic interaction suggest about their combined functional impact?"
YLR140W,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, we have engineered a strain with mutations in both YLR140W and RPD3 and are exposing it to dimethyl sulfate. What synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, we have engineered a strain with mutations in both YLR140W and RPD3 and are exposing it to dimethyl sulfate. What synthetic genetic interaction emerges under these conditions?"
YLR140W,HO,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous alteration of YLR140W and HO influence the cells' response when exposed to dimethyl sulfate, and what synthetic genetic relationship arises under these conditions?","In Saccharomyces cerevisiae, how does the simultaneous alteration of YLR140W and HO influence the cells' response when exposed to dimethyl sulfate, and what synthetic genetic relationship arises under these conditions?"
YIL015C-A,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous disruption of YIL015C-A and RPD3 influence cellular interactions when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous disruption of YIL015C-A and RPD3 influence cellular interactions when cells are exposed to dimethyl sulfate?"
ALG6,RAD9,DMS,synthetic lethality,"In Saccharomyces cerevisiae carrying mutations in both ALG6 and RAD9 and cultured in the presence of dimethyl sulfate, could you explain the observed synthetic genetic interaction?","In Saccharomyces cerevisiae carrying mutations in both ALG6 and RAD9 and cultured in the presence of dimethyl sulfate, could you explain the observed synthetic genetic interaction?"
ALG6,DUN1,DMS,non-sl,"In Saccharomyces cerevisiae, what phenotype arises when mutations occur in both ALG6 and DUN1 under conditions that include exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, what phenotype arises when mutations occur in both ALG6 and DUN1 under conditions that include exposure to dimethyl sulfate?"
YGL114W,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate, how does the concurrent mutation of YGL114W and RAD9 impact cellular functions in terms of their synthetic genetic interaction?","In Saccharomyces cerevisiae subjected to dimethyl sulfate, how does the concurrent mutation of YGL114W and RAD9 impact cellular functions in terms of their synthetic genetic interaction?"
YOR015W,RAD9,DMS,synthetic lethality,"In Saccharomyces cerevisiae with concurrent mutations in YOR015W and RAD9, how does treatment with dimethyl sulfate influence the synthetic genetic relationship between these two genes?","In Saccharomyces cerevisiae with concurrent mutations in YOR015W and RAD9, how does treatment with dimethyl sulfate influence the synthetic genetic relationship between these two genes?"
YOR015W,SET2,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous disruption of YOR015W and SET2 affect genetic behavior under dimethyl sulfate treatment?","In Saccharomyces cerevisiae, how does the simultaneous disruption of YOR015W and SET2 affect genetic behavior under dimethyl sulfate treatment?"
TCB3,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae, we engineered strains with concurrent mutations in TCB3 and RAD9 and exposed them to a treatment with dimethyl sulfate. Can you elaborate on the nature of the synthetic genetic interaction observed under these conditions?","In Saccharomyces cerevisiae, we engineered strains with concurrent mutations in TCB3 and RAD9 and exposed them to a treatment with dimethyl sulfate. Can you elaborate on the nature of the synthetic genetic interaction observed under these conditions?"
ELP3,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae strains where both ELP3 and RPD3 are mutated, what synthetic genetic interplay is observed during treatment with dimethyl sulfate?","In Saccharomyces cerevisiae strains where both ELP3 and RPD3 are mutated, what synthetic genetic interplay is observed during treatment with dimethyl sulfate?"
ELP3,ELG1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of ELP3 and ELG1 influence synthetic genetic interactions under condition of dimethyl sulfate treatment, particularly regarding cellular responses?","In Saccharomyces cerevisiae, how does the simultaneous mutation of ELP3 and ELG1 influence synthetic genetic interactions under condition of dimethyl sulfate treatment, particularly regarding cellular responses?"
ADY4,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, what cellular phenotype is observed when both ADY4 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, what cellular phenotype is observed when both ADY4 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate?"
ISU1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, if both ISU1 and RPD3 are simultaneously mutated, what synthetic genetic interaction emerges when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, if both ISU1 and RPD3 are simultaneously mutated, what synthetic genetic interaction emerges when the cells are exposed to dimethyl sulfate?"
ISU1,IDP2,DMS,non-sl,"In Saccharomyces cerevisiae carrying concurrent mutations in ISU1 and IDP2 and subjected to dimethyl sulfate treatment, what type of synthetic genetic interplay do you observe?","In Saccharomyces cerevisiae carrying concurrent mutations in ISU1 and IDP2 and subjected to dimethyl sulfate treatment, what type of synthetic genetic interplay do you observe?"
BNA5,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous inactivation of BNA5 and RPD3 affect cellular fitness when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous inactivation of BNA5 and RPD3 affect cellular fitness when cells are exposed to dimethyl sulfate?"
RTG3,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both RTG3 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic behavior emerges under these experimental conditions?","In Saccharomyces cerevisiae, when both RTG3 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic behavior emerges under these experimental conditions?"
RTG3,SGS1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent disruption of RTG3 and SGS1 influence cell behavior when exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent disruption of RTG3 and SGS1 influence cell behavior when exposed to dimethyl sulfate?"
YKL018C-A,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when simultaneously mutating YKL018C-A and RPD3 under dimethyl sulfate treatment, what synthetic genetic interaction becomes apparent?","In Saccharomyces cerevisiae, when simultaneously mutating YKL018C-A and RPD3 under dimethyl sulfate treatment, what synthetic genetic interaction becomes apparent?"
SNF8,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both SNF8 and RAD23 are concurrently mutated and the cells are treated with dimethyl sulfate, what synthetic genetic interaction has been observed?","In Saccharomyces cerevisiae, when both SNF8 and RAD23 are concurrently mutated and the cells are treated with dimethyl sulfate, what synthetic genetic interaction has been observed?"
SNF8,ELA1,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotype results from the concurrent mutation of SNF8 and ELA1, and what underlying genetic interplay might be responsible?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotype results from the concurrent mutation of SNF8 and ELA1, and what underlying genetic interplay might be responsible?"
BMH2,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in BMH2 and RAD23 under dimethyl sulfate treatment, how is the resulting synthetic genetic interplay characterized?","In Saccharomyces cerevisiae with concurrent mutations in BMH2 and RAD23 under dimethyl sulfate treatment, how is the resulting synthetic genetic interplay characterized?"
LEO1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, we are examining concurrent mutations in LEO1 and RPD3 while exposing the cells to dimethyl sulfate. Could you explain the synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, we are examining concurrent mutations in LEO1 and RPD3 while exposing the cells to dimethyl sulfate. Could you explain the synthetic genetic interaction observed under these experimental conditions?"
LEO1,TOS3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of LEO1 and TOS3 affect cellular behavior during exposure to dimethyl sulfate, and what synthetic genetic interaction emerges under this specific condition?","In Saccharomyces cerevisiae, how does the concurrent mutation of LEO1 and TOS3 affect cellular behavior during exposure to dimethyl sulfate, and what synthetic genetic interaction emerges under this specific condition?"
ZTA1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when ZTA1 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, how do these genetic alterations interact under the specified treatment?","In Saccharomyces cerevisiae, when ZTA1 and RPD3 are concurrently mutated and cells are exposed to dimethyl sulfate, how do these genetic alterations interact under the specified treatment?"
YLR358C,CDC4,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of YLR358C and CDC4 impact the genetic interplay when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of YLR358C and CDC4 impact the genetic interplay when cells are exposed to dimethyl sulfate?"
YLR358C,PLC1,DMS,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in YLR358C and PLC1, how does exposure to dimethyl sulfate affect the interaction between these genes?","In Saccharomyces cerevisiae with concurrent mutations in YLR358C and PLC1, how does exposure to dimethyl sulfate affect the interaction between these genes?"
SYM1,CDC4,DMS,non-sl,"In Saccharomyces cerevisiae, if we introduce concurrent mutations in SYM1 and CDC4 and subject the cells to dimethyl sulfate treatment, what kind of synthetic genetic interaction might be observed under these experimental conditions?","In Saccharomyces cerevisiae, if we introduce concurrent mutations in SYM1 and CDC4 and subject the cells to dimethyl sulfate treatment, what kind of synthetic genetic interaction might be observed under these experimental conditions?"
CBP1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, with a combined mutation of CBP1 and RPD3 and exposure to dimethyl sulfate, can you clarify the nature of the synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, with a combined mutation of CBP1 and RPD3 and exposure to dimethyl sulfate, can you clarify the nature of the synthetic genetic interaction observed under these experimental conditions?"
CBP1,ELG1,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in both CBP1 and ELG1 interact at the genetic level?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in both CBP1 and ELG1 interact at the genetic level?"
RGA2,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, what can be deduced about the genetic interplay when mutations are introduced in both RGA2 and RPD3?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, what can be deduced about the genetic interplay when mutations are introduced in both RGA2 and RPD3?"
YTA7,DST1,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of YTA7 and DST1 affect genetic interactions when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of YTA7 and DST1 affect genetic interactions when the cells are exposed to dimethyl sulfate?"
YTA7,JHD2,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of YTA7 and JHD2 affect cellular behavior when cells are treated with dimethyl sulfate, and what synthetic genetic interaction profile does this combination yield?","In Saccharomyces cerevisiae, how does the concurrent mutation of YTA7 and JHD2 affect cellular behavior when cells are treated with dimethyl sulfate, and what synthetic genetic interaction profile does this combination yield?"
SSU72,DST1,DMS,non-sl,"In Saccharomyces cerevisiae, when a strain harbors mutations in both SSU72 and DST1 and is exposed to dimethyl sulfate, how does this dual alteration affect cellular behavior in terms of genetic interaction?","In Saccharomyces cerevisiae, when a strain harbors mutations in both SSU72 and DST1 and is exposed to dimethyl sulfate, how does this dual alteration affect cellular behavior in terms of genetic interaction?"
YGL041C,TEL1,DMS,synthetic lethality,"In experiments using Saccharomyces cerevisiae, we introduced mutations in both YGL041C and TEL1 and then treated the cells with dimethyl sulfate. Could you elucidate the nature of the synthetic genetic interaction observed under these experimental conditions?","In experiments using Saccharomyces cerevisiae, we introduced mutations in both YGL041C and TEL1 and then treated the cells with dimethyl sulfate. Could you elucidate the nature of the synthetic genetic interaction observed under these experimental conditions?"
YGL041C,CDC4,DMS,non-sl,"In Saccharomyces cerevisiae, when both YGL041C and CDC4 are concurrently altered and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both YGL041C and CDC4 are concurrently altered and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?"
OCA2,TEL1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the synthetic genetic interplay manifest when both OCA2 and TEL1 are concurrently mutated in cells exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the synthetic genetic interplay manifest when both OCA2 and TEL1 are concurrently mutated in cells exposed to dimethyl sulfate?"
YSP3,RAD9,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of YSP3 and RAD9 affect their synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of YSP3 and RAD9 affect their synthetic genetic interaction?"
YSP3,MSH6,DMS,non-sl,"In Saccharomyces cerevisiae, when both YSP3 and MSH6 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interplay can be observed between these mutations?","In Saccharomyces cerevisiae, when both YSP3 and MSH6 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interplay can be observed between these mutations?"
PSK1,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of PSK1 and RAD9 influence cellular dynamics when cells are subjected to dimethyl sulfate treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of PSK1 and RAD9 influence cellular dynamics when cells are subjected to dimethyl sulfate treatment?"
SIF2,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when SIF2 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges?","In Saccharomyces cerevisiae, when SIF2 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges?"
SIF2,HO,DMS,non-sl,"In Saccharomyces cerevisiae, I have engineered concurrent mutations in SIF2 and HO, and the cells are being subjected to a treatment with dimethyl sulfate. Could you outline the synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, I have engineered concurrent mutations in SIF2 and HO, and the cells are being subjected to a treatment with dimethyl sulfate. Could you outline the synthetic genetic interaction observed under these experimental conditions?"
YMR259C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when YMR259C and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what type of genetic interaction is observed?","In Saccharomyces cerevisiae, when YMR259C and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what type of genetic interaction is observed?"
SSZ1,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of SSZ1 and RAD23 influence cellular responses when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of SSZ1 and RAD23 influence cellular responses when cells are exposed to dimethyl sulfate?"
SSZ1,SET2,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of SSZ1 and SET2 affect cellular fitness, and what synthetic genetic interplay emerges from these alterations?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of SSZ1 and SET2 affect cellular fitness, and what synthetic genetic interplay emerges from these alterations?"
YBR116C,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of YBR116C and RAD23 impact cellular function when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of YBR116C and RAD23 impact cellular function when the cells are exposed to dimethyl sulfate?"
OPI7,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae cultured with dimethyl sulfate, what kind of genetic relationship is evident when both OPI7 and RPD3 are concurrently mutated?","In Saccharomyces cerevisiae cultured with dimethyl sulfate, what kind of genetic relationship is evident when both OPI7 and RPD3 are concurrently mutated?"
OPI7,YLR422W,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of OPI7 and YLR422W affect cellular response when cells are subjected to dimethyl sulfate treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of OPI7 and YLR422W affect cellular response when cells are subjected to dimethyl sulfate treatment?"
YNL276C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both YNL276C and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both YNL276C and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?"
TOM70,RAD54,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both TOM70 and RAD54 are concurrently mutated and the cells are treated with dimethyl sulfate, how do these genetic alterations interact to affect cellular phenotype and viability?","In Saccharomyces cerevisiae, when both TOM70 and RAD54 are concurrently mutated and the cells are treated with dimethyl sulfate, how do these genetic alterations interact to affect cellular phenotype and viability?"
TOM70,LST7,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate, how does the concurrent mutation of TOM70 and LST7 influence genetic pathway interactions, and what synthetic interplay do you expect to observe?","In Saccharomyces cerevisiae subjected to dimethyl sulfate, how does the concurrent mutation of TOM70 and LST7 influence genetic pathway interactions, and what synthetic interplay do you expect to observe?"
THI6,RAD54,DMS,non-sl,"In Saccharomyces cerevisiae cells harboring concurrent mutations in THI6 and RAD54 and challenged with dimethyl sulfate, what effects on cell growth or viability might indicate a genetic interplay between these two mutations?","In Saccharomyces cerevisiae cells harboring concurrent mutations in THI6 and RAD54 and challenged with dimethyl sulfate, what effects on cell growth or viability might indicate a genetic interplay between these two mutations?"
TOM70,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the combined mutation in TOM70 and RPD3 affect cellular responses when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the combined mutation in TOM70 and RPD3 affect cellular responses when the cells are exposed to dimethyl sulfate?"
TOM70,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae with mutations in both TOM70 and RAD51 and exposed to dimethyl sulfate, could you explain how these genetic alterations interact to impact cellular viability compared to the single mutations?","In Saccharomyces cerevisiae with mutations in both TOM70 and RAD51 and exposed to dimethyl sulfate, could you explain how these genetic alterations interact to impact cellular viability compared to the single mutations?"
