gene_a,gene_b,condition,interaction,user_question,full_query
PEA2,SSM4,BLEO,non-sl,"In Saccharomyces cerevisiae, when both the PEA2 and SSM4 genes are disrupted and the cells are exposed to bleomycin, what synthetic genetic interaction is observed under these experimental conditions?","In Saccharomyces cerevisiae, when both the PEA2 and SSM4 genes are disrupted and the cells are exposed to bleomycin, what synthetic genetic interaction is observed under these experimental conditions?"
CWH41,TEL1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both CWH41 and TEL1 harbor mutations and cells are exposed to bleomycin, how do the resulting genetic interactions manifest?","In Saccharomyces cerevisiae, when both CWH41 and TEL1 harbor mutations and cells are exposed to bleomycin, how do the resulting genetic interactions manifest?"
YDL032W,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae subjected to bleomycin treatment, how does the simultaneous mutation of YDL032W and DST1 influence the overall synthetic genetic interaction between these genes?","In Saccharomyces cerevisiae subjected to bleomycin treatment, how does the simultaneous mutation of YDL032W and DST1 influence the overall synthetic genetic interaction between these genes?"
YDL032W,SIN3,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, what effect does the simultaneous mutation of YDL032W and SIN3 have on cellular phenotype?","In Saccharomyces cerevisiae exposed to bleomycin, what effect does the simultaneous mutation of YDL032W and SIN3 have on cellular phenotype?"
YJL070C,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of YJL070C and DST1 affect cellular fitness when the cells are exposed to the chemical bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of YJL070C and DST1 affect cellular fitness when the cells are exposed to the chemical bleomycin?"
IMP1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both IMP1 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what type of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both IMP1 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what type of synthetic genetic interaction is observed?"
IMP1,ELG1,BLEO,non-sl,"In Saccharomyces cerevisiae, with both IMP1 and ELG1 disrupted and cells exposed to bleomycin, what synthetic genetic interplay would you predict under these conditions?","In Saccharomyces cerevisiae, with both IMP1 and ELG1 disrupted and cells exposed to bleomycin, what synthetic genetic interplay would you predict under these conditions?"
TVP18,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when TVP18 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interplay might be observed?","In Saccharomyces cerevisiae, when TVP18 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interplay might be observed?"
SGF73,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, what synthetic genetic interaction is observed when SGF73 and DST1 are concurrently mutated and the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, what synthetic genetic interaction is observed when SGF73 and DST1 are concurrently mutated and the cells are exposed to bleomycin?"
SGF73,TOS3,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, can you detail the synthetic genetic effect observed when both SGF73 and TOS3 are concurrently mutated?","In Saccharomyces cerevisiae exposed to bleomycin, can you detail the synthetic genetic effect observed when both SGF73 and TOS3 are concurrently mutated?"
YBL059W,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae cells exposed to bleomycin, what synthetic genetic relationship emerges when mutations occur concurrently in YBL059W and DST1?","In Saccharomyces cerevisiae cells exposed to bleomycin, what synthetic genetic relationship emerges when mutations occur concurrently in YBL059W and DST1?"
ALP1,CDC4,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of ALP1 and CDC4 influence cellular behavior when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of ALP1 and CDC4 influence cellular behavior when the cells are exposed to bleomycin?"
ALP1,CUL3,BLEO,non-sl,"In Saccharomyces cerevisiae, when mutations in ALP1 and CUL3 are combined and the cells are exposed to bleomycin, how does the genetic interaction manifest?","In Saccharomyces cerevisiae, when mutations in ALP1 and CUL3 are combined and the cells are exposed to bleomycin, how does the genetic interaction manifest?"
COG2,CDC4,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of COG2 and CDC4 influence cell behavior when the cultures are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of COG2 and CDC4 influence cell behavior when the cultures are exposed to bleomycin?"
STP22,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae strains harboring mutations in STP22 and RPD3 and grown in the presence of bleomycin, how does the combined impairment of these genes influence cellular phenotypes, and what can be inferred about their genetic interplay?","In Saccharomyces cerevisiae strains harboring mutations in STP22 and RPD3 and grown in the presence of bleomycin, how does the combined impairment of these genes influence cellular phenotypes, and what can be inferred about their genetic interplay?"
STP22,RAD1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of STP22 and RAD1 influence cellular behavior when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of STP22 and RAD1 influence cellular behavior when the cells are exposed to bleomycin?"
YCL041C,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, after introducing mutations in both YCL041C and RPD3 and then treating the cells with bleomycin, what synthetic genetic interaction is observed under these experimental conditions?","In Saccharomyces cerevisiae, after introducing mutations in both YCL041C and RPD3 and then treating the cells with bleomycin, what synthetic genetic interaction is observed under these experimental conditions?"
ICY2,MSH6,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cells exposed to bleomycin, how would you describe the genetic interplay observed when both ICY2 and MSH6 are concurrently mutated?","In Saccharomyces cerevisiae cells exposed to bleomycin, how would you describe the genetic interplay observed when both ICY2 and MSH6 are concurrently mutated?"
ICY2,ELG1,BLEO,non-sl,"In Saccharomyces cerevisiae strains where both ICY2 and ELG1 are simultaneously disrupted and the cells are treated with bleomycin, what kind of synthetic genetic interaction emerges with respect to cellular fitness and growth?","In Saccharomyces cerevisiae strains where both ICY2 and ELG1 are simultaneously disrupted and the cells are treated with bleomycin, what kind of synthetic genetic interaction emerges with respect to cellular fitness and growth?"
PPZ1,MSH6,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, what synthetic genetic interaction manifests when both PPZ1 and MSH6 are concurrently disrupted?","In Saccharomyces cerevisiae treated with bleomycin, what synthetic genetic interaction manifests when both PPZ1 and MSH6 are concurrently disrupted?"
CCT2,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both CCT2 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction phenotype emerges?","In Saccharomyces cerevisiae, when both CCT2 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction phenotype emerges?"
CCT2,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, if both CCT2 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed between these gene alterations?","In Saccharomyces cerevisiae, if both CCT2 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed between these gene alterations?"
YGR067C,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YGR067C and DST1 affect cellular phenotypes, and what synthetic genetic relationship emerges between these genes?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YGR067C and DST1 affect cellular phenotypes, and what synthetic genetic relationship emerges between these genes?"
YPT7,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both YPT7 and DST1 are concurrently mutated and the cells are exposed to bleomycin, how does the presence of these genetic modifications interact to influence cell viability and function under this condition?","In Saccharomyces cerevisiae, when both YPT7 and DST1 are concurrently mutated and the cells are exposed to bleomycin, how does the presence of these genetic modifications interact to influence cell viability and function under this condition?"
YPT7,CDC73,BLEO,non-sl,"In Saccharomyces cerevisiae, when mutations in YPT7 and CDC73 coincide and cells are exposed to bleomycin, what synthetic genetic relationship is observed?","In Saccharomyces cerevisiae, when mutations in YPT7 and CDC73 coincide and cells are exposed to bleomycin, what synthetic genetic relationship is observed?"
CDC14,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both the CDC14 and DST1 genes are compromised, how does bleomycin treatment impact the synthetic genetic relationship between these two mutations?","In Saccharomyces cerevisiae, when both the CDC14 and DST1 genes are compromised, how does bleomycin treatment impact the synthetic genetic relationship between these two mutations?"
UME6,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, what synthetic genetic interaction emerges when the UME6 and DST1 genes are concurrently mutated?","In Saccharomyces cerevisiae exposed to bleomycin, what synthetic genetic interaction emerges when the UME6 and DST1 genes are concurrently mutated?"
UME6,CDC4,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, could you explain how mutations in UME6 combined with alterations in CDC4 influence cellular outcomes, particularly regarding their synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to bleomycin, could you explain how mutations in UME6 combined with alterations in CDC4 influence cellular outcomes, particularly regarding their synthetic genetic interaction?"
AAR2,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae strains carrying mutations in both AAR2 and DST1 and exposed to bleomycin, what type of synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae strains carrying mutations in both AAR2 and DST1 and exposed to bleomycin, what type of synthetic genetic interaction emerges under these conditions?"
NOP12,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does concurrent mutation of NOP12 and DST1 influence cell viability and response when the cells are treated with bleomycin?","In Saccharomyces cerevisiae, how does concurrent mutation of NOP12 and DST1 influence cell viability and response when the cells are treated with bleomycin?"
NOP12,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae subjected to bleomycin treatment, what synthetic genetic interaction phenotype might we observe when both NOP12 and SGS1 are concurrently mutated?","In Saccharomyces cerevisiae subjected to bleomycin treatment, what synthetic genetic interaction phenotype might we observe when both NOP12 and SGS1 are concurrently mutated?"
HHF2,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both HHF2 and DST1 are concurrently mutated and the cells are treated with bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both HHF2 and DST1 are concurrently mutated and the cells are treated with bleomycin, what synthetic genetic interaction is observed?"
TIF6,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how would the concurrent mutation of TIF6 and DST1 affect cell behavior when exposed to bleomycin?","In Saccharomyces cerevisiae, how would the concurrent mutation of TIF6 and DST1 affect cell behavior when exposed to bleomycin?"
TIF6,IRA1,BLEO,non-sl,"In Saccharomyces cerevisiae, when TIF6 and IRA1 are both mutated and the cells are treated with bleomycin, how would you describe the resulting synthetic genetic interaction?","In Saccharomyces cerevisiae, when TIF6 and IRA1 are both mutated and the cells are treated with bleomycin, how would you describe the resulting synthetic genetic interaction?"
TOS4,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of TOS4 and DST1 influence cellular behavior in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of TOS4 and DST1 influence cellular behavior in terms of synthetic genetic interaction?"
VMA21,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, we have cells harboring mutations in both VMA21 and RSC1 that are being tested under bleomycin treatment; could you explain what synthetic genetic interaction emerges from this combined genetic alteration under these conditions?","In Saccharomyces cerevisiae, we have cells harboring mutations in both VMA21 and RSC1 that are being tested under bleomycin treatment; could you explain what synthetic genetic interaction emerges from this combined genetic alteration under these conditions?"
VMA21,CDC73,BLEO,non-sl,"In Saccharomyces cerevisiae, when both VMA21 and CDC73 are mutated and the cells are exposed to bleomycin, what phenotype emerges that might shed light on their genetic interplay?","In Saccharomyces cerevisiae, when both VMA21 and CDC73 are mutated and the cells are exposed to bleomycin, what phenotype emerges that might shed light on their genetic interplay?"
TVP18,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of TVP18 and RSC1 influence the overall genetic phenotype compared to their respective individual alterations?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of TVP18 and RSC1 influence the overall genetic phenotype compared to their respective individual alterations?"
SNT1,IRA1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, we have generated a concurrent mutation in SNT1 and IRA1 and subsequently exposed the cells to bleomycin. Could you explain the resulting synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, we have generated a concurrent mutation in SNT1 and IRA1 and subsequently exposed the cells to bleomycin. Could you explain the resulting synthetic genetic interaction observed under these experimental conditions?"
SNT1,CDC73,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the synthetic interaction between SNT1 and CDC73 mutations manifest when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the synthetic interaction between SNT1 and CDC73 mutations manifest when the cells are exposed to bleomycin?"
TAN1,IRA1,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in TAN1 and IRA1 under bleomycin treatment, what type of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae with concurrent mutations in TAN1 and IRA1 under bleomycin treatment, what type of synthetic genetic interaction is observed?"
